Method	Resource type	Resource	URL	Use
Causal forests	User-provided	LOST – Causal Forest	https://lost-stats.github.io/Machine_Learning/causal_forest.html	Method definition, causal assumptions, implementation, treatment-effect heterogeneity.
Causal forests	User-provided	Athey & Wager – Estimating Treatment Effects with Causal Forests: An Application	http://arxiv.org/abs/1902.07409	Causal-forest treatment effects, propensity scores/confounding robustness, clustered errors.
Causal forests	External	N/A – no additional external source used beyond the provided resources		The provided sources were sufficient for the assessment.
Granger causality	User-provided	Risser, Ombadi & Wehner – Granger causal inference for climate change attribution	https://iopscience.iop.org/article/10.1088/2752-5295/add046	Application of Granger causality to climate-change detection and attribution.
Granger causality	User-provided	Barraquand et al. – Inferring species interactions using Granger causality and convergent cross mapping	http://link.springer.com/10.1007/s12080-020-00482-7	Ecological application, linear multivariate autoregressive formulation, comparison with CCM.
Granger causality	External	LOST – Granger Causality	https://lost-stats.github.io/Time_Series/Granger_Causality.html	Stationarity checks, lagged autoregressive implementation, bivariate testing and VAR implementation.
Granger causality	External	Granger Causality: A Review and Recent Advances	https://pmc.ncbi.nlm.nih.gov/articles/PMC10571505/	Standard linear VAR assumptions and limitations; developments for nonlinear, high-dimensional and nonstandard time series.
Granger causality	External	Data-driven causal analysis of observational biological time series	https://elifesciences.org/articles/72518	Biological time-series interpretation of Granger causality and its predictive definition.
Matrix completion	User-provided	Athey et al. 2021 – Matrix Completion Methods for Causal Panel Data Models (Zotero PU5HMVIM)	local Zotero storage/PU5HMVIM	Panel-data matrix completion, nuclear-norm estimator, links to synthetic controls and interactive fixed effects.
Matrix completion	External	Causal handbook – Plug-and-Play Estimators (F-learner chapter context)	https://matheusfacure.github.io/python-causality-handbook/20-Plug-and-Play-Estimators.html	Panel/cross-section CATE framing used to separate matrix completion from meta-learners.
Matrix completion	External	JASA abstract – Matrix Completion Methods for Causal Panel Data Models	https://www.tandfonline.com/doi/full/10.1080/01621459.2021.1891924	Abstract accessible; full text paywalled – assessment grounded in Zotero PDF.
Target transformation (F-learner)	User-provided	Causal handbook Ch.20 – Plug-and-Play Estimators	https://matheusfacure.github.io/python-causality-handbook/20-Plug-and-Play-Estimators.html	Transformed-target construction, propensity-score generalisation, variance caveat, binary-treatment scope.
Target transformation (F-learner)	User-provided	Athey & Imbens – Machine Learning Methods for Estimating Heterogeneous Causal Effects (Zotero CADXG6BI)	local Zotero storage/CADXG6BI	Heterogeneous-effects framing for F-learner vs meta-learners.
Target transformation (F-learner)	External	Gutierrez & Gérardy 2017 – Causal Inference and Uplift Modelling (Zotero AABWSTWR)	local Zotero storage/AABWSTWR	Uplift/target-transformation literature context.
S,T, X learners	User-provided	Künzel et al. 2019 – Metalearners for estimating heterogeneous treatment effects (Zotero LUCGZBSW)	local Zotero storage/LUCGZBSW	S/T/X-learner definitions, base-learner structure, sample-efficiency trade-offs.
S,T, X learners	User-provided	Athey & Imbens – Machine Learning Methods for Estimating Heterogeneous Causal Effects (Zotero CADXG6BI)	local Zotero storage/CADXG6BI	Heterogeneous-effects framing and unconfoundedness/overlap assumptions.
S,T, X learners	External	Causal handbook Ch.21 – Meta Learners (companion to Ch.20)	https://matheusfacure.github.io/python-causality-handbook/21-Meta-Learners.html	S/T/X-learner implementation context.
NNs	User-provided	Shi et al. 2019 – Adapting Neural Networks for the Estimation of Treatment Effects (Zotero IXGNZ9AJ)	local Zotero storage/IXGNZ9AJ	Dragonnet architecture, targeted regularisation, two-stage outcome/propensity estimation.
